state,city,datetime,crop_type,growth_stage,air_temperature_c,relative_humidity_%,rainfall_mm,wind_speed_mps,solar_radiation_wm2,soil_moisture_%,soil_temperature_c,soil_ph,irrigation_status,fertilizer_applied,pest_risk_level,crop_health_index,crop_duration_days,region
Himachal Pradesh,Mandi,2023-11-06 01:00:00,Potato,Harvest,23.5,66.6,4.5,3.1,603.9,56.9,19.8,5.1,ON,ORGANIC,LOW,73,146,North India
Goa,Panaji,2024-02-10 16:00:00,Mango,Vegetative,26.4,61.1,2.6,4.4,684.7,62.3,23.3,6.5,ON,MOP,HIGH,54,159,West India
Kerala,Kozhikode,2023-08-30 10:00:00,Rice,Maturity,31.0,87.4,14.0,4.5,700.8,62.6,29.2,5.6,ON,SSP,HIGH,68,107,South India
Chhattisgarh,Bilaspur,2023-06-30 06:00:00,Rice,Fruiting,28.4,76.5,7.9,1.8,690.8,64.1,26.8,6.2,OFF,MOP,HIGH,56,115,Central India
Telangana,Khammam,2024-10-16 10:00:00,Sugarcane,Harvest,36.1,75.0,10.3,0.9,573.2,56.8,32.9,7.6,ON,UREA,HIGH,59,90,South India
Maharashtra,Pune,2024-09-27 22:00:00,Rice,Fruiting,26.3,80.3,9.4,3.1,621.6,76.6,23.0,6.6,OFF,NPK,MEDIUM,77,99,West India
Assam,Guwahati,2024-11-01 15:00:00,Mustard,Seedling,18.3,65.1,0.9,2.5,362.9,32.4,17.2,6.4,OFF,DAP,LOW,86,147,Northeast India
Uttarakhand,Nainital,2023-08-03 11:00:00,Soybean,Flowering,19.3,72.3,7.0,2.1,631.1,51.5,15.4,6.8,ON,ORGANIC,HIGH,76,154,North India
Tripura,Agartala,2023-05-20 16:00:00,Rice,Maturity,24.8,90.0,6.4,5.4,624.9,77.8,22.8,7.0,OFF,NPK,LOW,86,115,Northeast India
Chhattisgarh,Raipur,2024-10-19 23:00:00,Groundnut,Maturity,33.5,56.5,5.4,3.5,217.4,56.4,31.3,5.6,OFF,MOP,LOW,91,159,Central India
Uttar Pradesh,Meerut,2023-08-22 15:00:00,Wheat,Fruiting,19.8,43.8,6.3,2.2,784.5,49.0,15.8,7.5,OFF,SSP,MEDIUM,75,134,North India
Andhra Pradesh,Kurnool,2024-10-24 10:00:00,Cotton,Seedling,24.7,65.6,3.2,1.3,481.9,29.3,21.5,6.5,OFF,ORGANIC,LOW,86,112,South India
Uttarakhand,Roorkee,2024-08-11 22:00:00,Maize,Germination,23.9,75.8,6.3,5.0,458.7,63.4,20.0,6.1,OFF,NONE,HIGH,77,94,North India
Andhra Pradesh,Kurnool,2023-12-27 15:00:00,Chilli,Maturity,28.0,67.2,7.4,3.9,794.2,59.1,26.6,5.6,OFF,ORGANIC,HIGH,46,152,South India
Tamil Nadu,Madurai,2023-09-10 03:00:00,Rice,Vegetative,28.7,93.5,13.0,2.5,355.3,59.0,27.1,6.3,ON,NPK,LOW,67,104,South India
Madhya Pradesh,Jabalpur,2024-06-21 14:00:00,Soybean,Fruiting,23.8,71.8,4.8,2.3,456.1,53.3,20.2,6.7,OFF,MOP,MEDIUM,84,109,Central India
Tamil Nadu,Erode,2023-03-11 21:00:00,Groundnut,Vegetative,33.6,45.7,2.7,3.9,529.2,51.4,30.3,6.3,ON,MOP,MEDIUM,81,131,South India
Himachal Pradesh,Mandi,2024-03-21 01:00:00,Potato,Maturity,18.4,60.8,5.8,3.7,517.9,49.2,16.5,6.6,ON,NPK,HIGH,52,94,North India
Rajasthan,Jaipur,2023-03-03 19:00:00,Wheat,Germination,20.8,45.5,5.0,5.7,300.0,31.4,19.6,6.8,OFF,NONE,LOW,88,129,North India
Maharashtra,Nashik,2024-04-10 09:00:00,Wheat,Fruiting,16.6,56.3,4.7,3.8,628.2,55.3,14.3,7.0,OFF,ORGANIC,MEDIUM,74,174,West India
Kerala,Thrissur,2023-08-06 12:00:00,Rubber,Vegetative,23.5,91.0,6.0,4.8,238.4,71.2,21.5,4.6,ON,MOP,MEDIUM,89,153,South India
Haryana,Rohtak,2023-09-09 13:00:00,Wheat,Harvest,19.6,65.7,4.6,6.5,676.9,52.5,17.9,6.4,ON,NPK,HIGH,43,102,North India
Chhattisgarh,Raipur,2023-08-31 05:00:00,Maize,Seedling,27.2,74.8,6.2,5.4,637.8,51.4,25.8,6.5,OFF,NPK,HIGH,48,124,Central India
Goa,Margao,2023-09-30 19:00:00,Rice,Flowering,31.6,75.5,10.8,4.7,204.2,62.9,29.0,5.6,ON,ORGANIC,MEDIUM,60,143,West India
Andhra Pradesh,Vijayawada,2024-11-24 19:00:00,Tobacco,Seedling,25.5,55.5,4.0,6.3,626.9,41.0,22.6,6.8,ON,DAP,LOW,85,163,South India
Karnataka,Mangaluru,2023-04-21 01:00:00,Groundnut,Harvest,34.2,52.3,4.5,5.1,790.6,43.0,33.2,6.4,ON,MOP,HIGH,44,155,South India
Haryana,Rohtak,2024-10-09 17:00:00,Mustard,Fruiting,18.9,50.8,5.0,3.7,565.7,41.1,16.5,6.3,OFF,DAP,LOW,66,153,North India
Uttarakhand,Nainital,2023-02-01 10:00:00,Potato,Flowering,17.7,85.0,8.2,2.0,454.7,61.1,15.0,6.5,ON,UREA,HIGH,57,155,North India
Rajasthan,Jodhpur,2023-06-16 23:00:00,Chickpea,Vegetative,16.7,55.2,5.6,1.3,268.0,49.2,15.1,6.4,ON,NONE,MEDIUM,77,136,North India
Uttarakhand,Dehradun,2023-11-07 22:00:00,Apple,Vegetative,17.8,81.4,2.7,6.3,744.9,49.4,15.6,6.6,ON,SSP,MEDIUM,83,104,North India
Meghalaya,Jowai,2024-04-29 14:00:00,Potato,Maturity,17.3,60.9,6.8,4.1,463.2,71.3,15.6,5.5,OFF,NONE,LOW,69,107,Northeast India
Kerala,Thiruvananthapuram,2023-04-16 07:00:00,Rice,Harvest,33.7,86.7,12.7,6.3,544.3,80.5,30.8,5.9,ON,NONE,MEDIUM,84,95,South India
Madhya Pradesh,Bhopal,2023-08-24 14:00:00,Wheat,Germination,24.9,59.2,4.0,2.5,507.2,42.4,23.1,7.3,OFF,SSP,MEDIUM,85,168,Central India
Karnataka,Hubballi,2024-03-26 21:00:00,Sugarcane,Harvest,24.1,65.4,11.5,1.7,784.5,70.6,21.4,7.1,ON,SSP,MEDIUM,74,167,South India
Uttarakhand,Dehradun,2024-11-01 10:00:00,Rice,Seedling,28.3,84.2,14.2,5.1,538.4,64.8,25.4,6.6,OFF,NPK,MEDIUM,83,96,North India
Assam,Guwahati,2024-11-23 16:00:00,Tea,Maturity,19.9,80.5,5.1,4.2,521.1,54.4,16.4,5.5,OFF,ORGANIC,MEDIUM,72,172,Northeast India
Tamil Nadu,Thanjavur,2024-03-06 20:00:00,Sugarcane,Germination,29.9,64.8,10.5,4.6,499.5,70.6,28.4,6.7,ON,NPK,MEDIUM,95,131,South India
Telangana,Karimnagar,2023-05-06 00:00:00,Cotton,Vegetative,32.4,48.5,0.7,4.4,485.0,32.0,29.4,7.0,OFF,ORGANIC,HIGH,52,153,South India
Punjab,Amritsar,2024-06-18 05:00:00,Sugarcane,Germination,22.8,69.2,6.6,1.1,356.6,58.5,20.1,7.2,OFF,MOP,LOW,75,144,North India
West Bengal,Kolkata,2024-10-09 05:00:00,Mustard,Flowering,25.2,67.4,3.4,1.9,270.4,34.3,21.5,6.5,OFF,SSP,LOW,91,165,East India
Arunachal Pradesh,Itanagar,2024-07-25 22:00:00,Ginger,Vegetative,20.0,74.2,8.9,5.9,347.8,70.9,17.1,6.9,ON,UREA,LOW,72,144,Northeast India
Telangana,Nizamabad,2023-11-11 06:00:00,Maize,Harvest,23.2,67.0,7.6,4.1,202.5,60.1,21.2,6.8,OFF,DAP,MEDIUM,63,179,South India
Rajasthan,Ajmer,2024-01-12 02:00:00,Chickpea,Germination,15.7,37.0,1.1,6.5,210.2,36.9,12.1,7.9,ON,UREA,HIGH,77,97,North India
Madhya Pradesh,Gwalior,2024-05-10 18:00:00,Soybean,Fruiting,23.4,60.6,2.8,5.4,576.1,45.6,20.6,6.6,ON,NONE,HIGH,63,168,Central India
Tripura,Udaipur,2024-05-20 16:00:00,Rice,Fruiting,33.7,84.5,9.0,6.3,328.9,62.8,31.9,6.6,ON,DAP,LOW,84,168,Northeast India
Nagaland,Kohima,2024-03-10 09:00:00,Maize,Vegetative,24.9,63.9,8.1,5.3,207.4,49.2,22.8,5.8,ON,NPK,LOW,81,178,Northeast India
Uttarakhand,Nainital,2024-01-21 00:00:00,Apple,Seedling,13.8,69.6,0,2.5,359.3,59.4,11.2,6.2,ON,SSP,HIGH,52,143,North India
Bihar,Patna,2023-07-13 13:00:00,Wheat,Seedling,21.6,67.5,1.3,6.3,484.7,52.2,19.6,6.9,OFF,NPK,HIGH,59,146,East India
Himachal Pradesh,Solan,2024-06-10 17:00:00,Apple,Vegetative,5.8,52.2,2.0,1.0,580.3,43.3,2.0,6.0,ON,MOP,HIGH,61,180,North India
Chhattisgarh,Raipur,2023-01-05 15:00:00,Groundnut,Maturity,31.1,68.5,5.4,1.6,675.7,57.4,28.1,6.2,OFF,MOP,HIGH,77,108,Central India
Uttarakhand,Haridwar,2024-09-14 20:00:00,Soybean,Seedling,22.1,65.7,8.3,3.8,756.0,53.2,20.6,7.1,OFF,NPK,LOW,76,158,North India
Rajasthan,Ajmer,2024-07-03 23:00:00,Wheat,Maturity,18.8,42.3,7.0,3.0,687.7,49.3,15.7,7.3,ON,ORGANIC,HIGH,69,174,North India
Uttar Pradesh,Kanpur,2023-05-07 11:00:00,Mustard,Maturity,13.0,67.0,5.3,5.7,673.5,40.1,10.0,7.0,OFF,NPK,MEDIUM,84,168,North India
Tamil Nadu,Salem,2023-05-04 02:00:00,Sugarcane,Flowering,34.6,70.7,10.5,5.7,712.0,49.9,33.6,7.1,ON,NPK,MEDIUM,69,105,South India
Tripura,Agartala,2024-04-20 22:00:00,Rubber,Germination,23.3,79.7,8.8,5.0,736.4,63.5,22.1,4.8,OFF,UREA,HIGH,79,179,Northeast India
Kerala,Kochi,2023-07-26 09:00:00,Rice,Flowering,24.5,80.7,8.4,3.2,692.3,55.4,22.9,6.3,OFF,MOP,MEDIUM,83,98,South India
Madhya Pradesh,Indore,2023-07-14 12:00:00,Cotton,Seedling,39.3,41.7,3.3,5.0,659.2,41.8,35.4,6.3,ON,MOP,MEDIUM,88,146,Central India
Karnataka,Hubballi,2024-07-20 18:00:00,Ragi,Fruiting,32.3,42.9,5.5,2.0,454.9,54.6,29.0,6.9,OFF,NPK,LOW,82,129,South India
Rajasthan,Kota,2023-07-29 12:00:00,Chickpea,Germination,24.3,51.3,2.7,2.7,423.9,31.6,22.0,6.2,ON,SSP,LOW,86,134,North India
Madhya Pradesh,Gwalior,2024-07-09 11:00:00,Chickpea,Seedling,23.0,39.4,4.6,2.4,439.0,25.4,21.9,6.3,ON,SSP,MEDIUM,80,143,Central India
